"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-G-A-000159","Class A Marihuana Grower - License","White Ash Pak Boz","5963 Scholl RD, Mancelona MI 49659","04/09/2026","Active",,,
"AU-G-A-000156","Class A Marihuana Grower - License","Little Shop of Weed","1012 N Lansing ST, Mt. Pleasant MI 48858","03/19/2026","Active",,,
"AU-G-A-000157","Class A Marihuana Grower - License","Faded Acres LLC","3624 Quade HWY, Rogers City MI 49779","03/09/2026","Active",,,
"AU-G-A-000154","Class A Marihuana Grower - License","Space Cadet Cannabis","14111 White Creek AVE NE Suite H, Cedar Springs MI 49319","12/16/2025","Active",,,
"AU-G-A-000155","Class A Marihuana Grower - License","Tarantula Genetics, LLC","1171 W Frances RD, Mount Morris MI 48458","01/03/2026","License Void",,,
"AU-G-A-000153","Class A Marihuana Grower - License","Sapura","520 E Dresden ST, Kalkaska MI 49646","04/18/2026","License Void",,,
"AU-G-A-000152","Class A Marihuana Grower - License","Tri State Wellness & Recreational","7503 E Reading RD, Pittsford MI 49271","09/27/2025","License Void",,,
"AU-G-A-000151","Class A Marihuana Grower - License","Hazen Gardens, LLC","21864 W County Line RD, Augusta MI 49012","09/04/2026","Active",,,
"AU-G-A-000149","Class A Marihuana Grower - License","3165 Farms, LLC","3165 Alabaster RD, Tawas City MI 48763","07/16/2026","Active",,,
"AU-G-A-000147","Class A Marihuana Grower - License","Wise Tree Farms LLC","8751 N Wise RD, Clare MI 48617","05/13/2026","Active",,"Public Documents Available",
"AU-G-A-000148","Class A Marihuana Grower - License","Triforce Farm LLC","8310 Hudson RD, Pittsford MI 49271","05/08/2026","Active",,,
"AU-G-A-000143","Class A Marihuana Grower - License","Authentic 231","74 Arthur ST Bldg B, Manistee MI 49660","11/17/2026","Active",,,
"AU-G-A-000138","Class A Marihuana Grower - License","High Bud","5963 Scholl RD, Mancelona MI 49659","05/19/2025","License Void",,,
"AU-G-A-000137","Class A Marihuana Grower - License","The Noggin Shop","52324 Duncan AVE, HUBBELL MI 49934","03/16/2026","Active",,,
"AU-G-A-000134","Class A Marihuana Grower - License","GL Hydro Pharm LLC","6068 South U.S. 131 HWY, Mancelona MI 49659","02/13/2025","License Void",,,
"AU-G-A-000136","Class A Marihuana Grower - License","World Selections","220 Watts RD, Jackson MI 49201","02/10/2025","License Void",,,
"AU-G-A-000132","Class A Marihuana Grower - License","Spring Valley Growers, LLC","3314 Pleasant DR, Osseo MI 49266","10/27/2024","License Void",,,
"AU-G-A-000131","Class A Marihuana Grower - License","Aloft Process, Inc","317 Post RD, Buchanan MI 49107","08/01/2023","License Void",,,
"AU-G-A-000128","Class A Marihuana Grower - License","Urban Gardens","617 Portage ST, Kalamazoo MI 49007","02/19/2025","License Void",,,
"AU-G-A-000125","Class A Marihuana Grower - License","Family Trees, LLC","4975 Page AVE, Michigan Center MI 49254","07/27/2023","License Void","Social Equity",,
"AU-G-A-000121","Class A Marihuana Grower - License","Smart Decisions, Inc.","1256 Falahee RD, Jackson MI 49203","05/19/2023","License Void",,,
"AU-G-A-000120","Class A Marihuana Grower - License","Source 906","1500 N. Stephenson AVE, Iron Mountain MI 49801","05/04/2023","License Void",,,
"AU-G-A-000117","Class A Marihuana Grower - License","My Peaceable Kingdom LLC","2855 Paul Rose RD, Frankfort MI 49635","01/27/2024","License Void",,,
"AU-G-A-000115","Class A Marihuana Grower - License","Epic Roots, LLC","2103 Riggs, Warren MI 48091","10/19/2022","License Void",,,
"AU-G-A-000114","Class A Marihuana Grower - License","Production Dr. Holdings, LLC","41525 Production DR, Harrison Township MI 48045","08/30/2024","License Void",,"Public Documents Available",
"AU-G-A-000108","Class A Marihuana Grower - License","Exclusive Grand Rapids","2350 29th Street SE, Grand Rapids MI 49508","08/12/2026","Active",,"Public Documents Available",
"AU-G-A-000107","Class A Marihuana Grower - License","Givingtrees","1008 East 10 Mile RD, Hazel Park MI 48030","03/23/2022","License Void",,,
"AU-G-A-000103","Class A Marihuana Grower - License","77 North Inc.","4404 N. M-77 HWY, Germfask MI 49836","02/18/2022","License Void",,,
