"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-MB-A-000021","Class A Marihuana Microbusiness - License","The Micro Clinic of Westland","39123 Ford RD, Westland MI 48185","05/06/2026","Active",,,
"AU-MB-A-000020","Class A Marihuana Microbusiness - License","Best Lyfe Cannabis","32767 Woodward AVE, Royal Oak MI 48073","01/28/2026","Active",,,
"AU-MB-A-000019","Class A Marihuana Microbusiness - License","Green Acres Coffee House","7505 E Reading RD, Pittsford MI 49271","08/26/2025","License Void",,,
"AU-MB-A-000018","Class A Marihuana Microbusiness - License","Fortuo Lansing","4924 S ML King Jr BLVD, Lansing MI 48910","07/24/2026","Active","Home Delivery - Approved",,
"AU-MB-A-000017","Class A Marihuana Microbusiness - License","Levels Cannabis of Ironwood","255 E Cloverland DR, Ironwood MI 49938","07/08/2026","Active",,,
"AU-MB-A-000014","Class A Marihuana Microbusiness - License","Native Michigan Remedies","2112 INDUSTRIAL DR, NILES MI 49120","05/17/2026","License Void",,,
"AU-MB-A-000015","Class A Marihuana Microbusiness - License","Fortuo Lansing","4924 S ML King Jr BLVD, Lansing MI 48910","05/16/2025","License Void",,,
"AU-MB-A-000012","Class A Marihuana Microbusiness - License","Only Alien","4525 W KL AVE Suite B, Kalamazoo MI 49006","01/31/2026","Active",,,
"AU-MB-A-000011","Class A Marihuana Microbusiness - License","ZIP Cannabis LLC","801 Prospect ST, Hartford MI 49057","11/17/2026","Active",,,
"AU-MB-A-000007","Class A Marihuana Microbusiness - License","Lifted Craft Cannabis Market","303 Carroll ST, Buchanan MI 49107","07/05/2026","Active",,,
"AU-MB-A-000008","Class A Marihuana Microbusiness - License","Firefly Cannabis","919 Michigan ST, Niles MI 49120","06/26/2025","License Void",,,
"AU-MB-A-000006","Class A Marihuana Microbusiness - License","The Hive at BDT","21630 John R RD, Hazel Park MI 48030","05/09/2026","Active",,"Public Documents Available",
"AU-MB-A-000005","Class A Marihuana Microbusiness - License","Southland Farms","215 S 11th ST, Niles MI 49120","04/03/2025","License Void","Home Delivery - Approved","Public Documents Available",
"AU-MB-A-000004","Class A Marihuana Microbusiness - License","Sticky Bush Farms, LLC","20916 Industrial Park DR, Onaway MI 49765","09/16/2026","Active",,"Public Documents Available",
"AU-MB-A-000003","Class A Marihuana Microbusiness - License","Planet Jane LLC","815 N. Huron River DR, Ypsilanti MI 48197","03/30/2025","License Void","Home Delivery - Approved","Public Documents Available",
