"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-G-B-000344","Class B Marihuana Grower - License","BG Grow, LLC","23881 Dequindre RD, Hazel Park MI 48030","12/04/2026","Active",,,
"AU-G-B-000341","Class B Marihuana Grower - License","Garden Holdings C, LLC","32330 Ford RD Suite A, Garden City MI 48135","10/08/2026","Active",,,
"AU-G-B-000339","Class B Marihuana Grower - License","Iliad Epic Grow","921 Terminal RD, Lansing MI 48906","07/11/2026","Active",,,
"AU-G-B-000338","Class B Marihuana Grower - License","420 Satori LLC","6764 Just Barns DR Unit 15, Fennville MI 49408","01/13/2026","Active",,,
"AU-G-B-000334","Class B Marihuana Grower - License","Natural Tranquilities Springs, LLC","11025 Elk DR, Atlanta MI 49709","05/23/2026","Active",,,
"AU-G-B-000337","Class B Marihuana Grower - License","Brothers Cole, Inc.","52558 Burlington RD, Marcellus MI 49067","05/13/2026","Active",,,
"AU-G-B-000330","Class B Marihuana Grower - License","Tarantula Genetics, LLC","1171 W Frances RD, MT Morris MI 48458","04/21/2026","Active",,,
"AU-G-B-000332","Class B Marihuana Grower - License","Pincanna","419 E. Pinconning RD, Pinconning MI 48650","04/13/2026","Active",,,
"AU-G-B-000329","Class B Marihuana Grower - License","Southland Farms","215 S 11th ST, Niles MI 49120","03/17/2026","Active",,,
"AU-G-B-000327","Class B Marihuana Grower - License","BUZZZY LLC","3435 E MICHIGAN AVE, JACKSON MI 49202","03/11/2026","Active",,,
"AU-G-B-000320","Class B Marihuana Grower - License","Fireline LLC","110 W Park DR, Kalkaska MI 49646","10/21/2026","Active",,,
"AU-G-B-000322","Class B Marihuana Grower - License","MIDLER INDUSTRIES","3555 Smokey Ridge RD, Vassar MI 48768","10/09/2025","License Void",,,
"AU-G-B-000321","Class B Marihuana Grower - License","Supreme Colas LLC","14290 Schaefer HWY Suite 1, Detroit MI 48227","10/09/2025","License Void",,,
"AU-G-B-000319","Class B Marihuana Grower - License","Schaefer Cannabis","14290 SCHAEFER HWY Suite 3, Detroit MI 48227","08/29/2025","License Void",,,
"AU-G-B-000318","Class B Marihuana Grower - License","Michigan Pipe Dreams, LLC","4540 Wayne RD, SPRINGFIELD MI 49037","08/28/2025","License Void",,,
"AU-G-B-000316","Class B Marihuana Grower - License","Quantum Ag, LLC","9157 N Dort HWY, Mount Morris MI 48458","07/30/2025","License Void",,,
"AU-G-B-000312","Class B Marihuana Grower - License","EZST Scientific","25185 Easy ST, Warren MI 48089","07/25/2026","Active",,"Public documents available",
"AU-G-B-000317","Class B Marihuana Grower - License","Love Supreme Craft Cannabis","1925 Century Ave SW Unit B, Grand Rapids MI 49503","07/08/2026","Active",,,
"AU-G-B-000313","Class B Marihuana Grower - License","HLS PARTNERS LLC","490 E Dresden ST, Kalkaska MI 49646","07/02/2025","License Void",,,
"AU-G-B-000314","Class B Marihuana Grower - License","EPS I, LLC","1120 INDUSTRIAL RD, MARSHALL MI 49068","06/17/2026","Active",,,
"AU-G-B-000304","Class B Marihuana Grower - License","Nug Life Canna","1008 E 10 Mile RD, Hazel Park MI 48030","07/02/2026","Active",,,
"AU-G-B-000309","Class B Marihuana Grower - License","Git Wright LLC","57773 Gards Prairie RD, Cassopolis MI 49031","06/25/2026","Active",,,
"AU-G-B-000307","Class B Marihuana Grower - License","Evergreen Organics Farm LLC","3868 N Chard RD, Hessel MI 49745","06/21/2026","Active",,,
