"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-G-C-001726","Class C Marihuana Grower - License","Riverside Exotics, LLC","4473 W Jefferson AVE, DETROIT MI 48209","10/08/2026","Active",,,
"AU-G-C-001734","Class C Marihuana Grower - License","Nuggets Company, LLC","4500 Aurelius RD, Lansing MI 48910","06/13/2026","Active",,,
"AU-G-C-001722","Class C Marihuana Grower - License","Space Stone, Inc.","187 Premier DR, Orion Township MI 48359","10/12/2026","Active",,,
"AU-G-C-001724","Class C Marihuana Grower - License","Gynoecium517, LLC","3110 Turner ST Suite 1-C, Lansing MI 48906","11/04/2026","Active",,,
"AU-G-C-001733","Class C Marihuana Grower - License","Hazel Park Growth, LLC","41645 Production DR, Harrison Twp MI 48045","10/14/2026","Active",,,
"AU-G-C-001721","Class C Marihuana Grower - License","Vassar Team LLC","6339 Maple RD, Vassar MI 48768","10/29/2026","Active",,,
"AU-G-C-001720","Class C Marihuana Grower - License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/15/2026","Active",,,
"AU-G-C-001718","Class C Marihuana Grower - License","Toka Farms","209 E Park DR, KALKASKA MI 49646","10/23/2026","Active",,,
"AU-G-C-001712","Class C Marihuana Grower - License","Joseph Lanphere","250 Industrial Park RD, BANGOR MI 49013","10/22/2026","Active",,,
"AU-G-C-001715","Class C Marihuana Grower - License","Pillar Cana, LLC","17507 Van Dyke, Detroit MI 48234","08/27/2026","Active",,,
"AU-G-C-001719","Class C Marihuana Grower - License","1160 TREAT STREET LLC","1160 Treat ST, Adrian MI 49221","10/14/2026","Active",,,
"AU-G-C-001716","Class C Marihuana Grower - License","Hazel Park Growth, LLC","41645 Production DR, Harrison Twp MI 48045","10/14/2026","Active",,,
"AU-G-C-001709","Class C Marihuana Grower - License","TKO VENTURES LLC","111 W Mt. Hope AVE Suite D-26, Lansing MI 48910","10/06/2026","Active",,,
"AU-G-C-001717","Class C Marihuana Grower - License","HI Cannabis Ann Arbor","975 Phoenix DR, Ann Arbor MI 48108","09/23/2026","Active",,,
"AU-G-C-001703","Class C Marihuana Grower - License","Distro 10 Inc.","21445 Hoover RD Suite 315A, Warren MI 48089","08/18/2026","Active",,,
