"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-P-000625","Marihuana Processor - License","TRIMED FARM","1271 EDEN WAY Suite P, Chesaning MI 48616","11/24/2026","Active",,,
"AU-P-000626","Marihuana Processor - License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/15/2026","Active",,,
"AU-P-000624","Marihuana Processor - License","Galenas Michigan LLC","118 Alvord RD, Camden MI 49232","12/10/2026","Active",,,
"AU-P-000630","Marihuana Processor - License","National Brands Distribution LLC","3775 VARSITY DR, ANN ARBOR MI 48108","09/10/2026","Active",,,
"AU-P-000623","Marihuana Processor - License","4K Processing Inc","1356 Imlay City RD, Lapeer MI 48446","10/09/2026","Active",,,
"AU-P-000622","Marihuana Processor - License","4K Processing Inc","1330 Imlay City RD Suite F, Lapeer MI 48446","10/09/2026","Active",,,
"AU-P-000627","Marihuana Processor - License","Garden Holdings P, LLC","32330 Ford RD Suite B, Garden City MI 48135","10/08/2026","Active",,,
"AU-P-000621","Marihuana Processor - License","Flow Processing, LLC","8151 Greenfield RD, Detroit MI 48228","09/30/2026","Active",,,
"AU-P-000617","Marihuana Processor - License","Michigan Pure Pharms","9286 N. Saginaw RD, Mt. Morris MI 48458","06/22/2026","Active",,,
"AU-P-000619","Marihuana Processor - License","National Brands Distribution LLC","3755 Varsity DR, Ann Arbor MI 48108","09/10/2026","Active",,,
"AU-P-000613","Marihuana Processor - License","Get W8","45411 Park AVE Suite A, Utica MI 48315","08/29/2026","Active",,,
"AU-P-000612","Marihuana Processor - License","Pillar Cana, LLC","17507 Van Dyke, Detroit MI 48234","08/27/2026","Active",,,
"AU-P-000620","Marihuana Processor - License","Sour Flower Organics, LLC","51956 44th ST, Paw Paw MI 49079","12/20/2026","Active",,,
"AU-P-000610","Marihuana Processor - License","Misspres, LLC","26700 Liberal Suite 2, Center Line MI 48015","08/27/2026","Active",,,
"AU-P-000616","Marihuana Processor - License","Gatsby Cannabis Co. Royal Oak","5130 Meijer DR, Royal Oak MI 48073","05/20/2026","Active",,,
"AU-P-000615","Marihuana Processor - License","Take Off Extracts LLC","5920 S Pennsylvania AVE, Lansing MI 48911","08/21/2026","Active",,,
"AU-P-000614","Marihuana Processor - License","True Extractions LLC","362 Watts RD, Jackson MI 49203","08/19/2026","Active",,,
"AU-P-000607","Marihuana Processor - License","World Champ Distro LLC","3980 Varsity DR, Ann Arbor MI 48108","08/15/2026","Active",,,
"AU-P-000611","Marihuana Processor - License","Canna Capital LLC","21445 Hoover RD Suite 106, Warren MI 48089","07/23/2026","Active",,,
"AU-P-000608","Marihuana Processor - License","Paisley Trees","1298 Arbogast RD, Union City MI 49094","07/21/2026","Active",,,
"AU-P-000609","Marihuana Processor - License","Element Enterprises LLC","21015 John R RD, Hazel Park MI 48030","07/18/2026","Active",,,
"AU-P-000600","Marihuana Processor - License","Trinity Cannabis","2125 Bowes Rd SE, Lowell MI 49331","12/08/2025","Active",,,
"AU-P-000602","Marihuana Processor - License","VJAS 1 LLC","41525 Production Suite C, Harrison Township MI 48045","06/13/2026","Active",,,
"AU-P-000604","Marihuana Processor - License","Golden Lion Extracts, LLC","11530 Stephens RD Suite 310, Warren MI 48089","05/30/2026","Active",,,
"AU-P-000597","Marihuana Processor - License","SHATTER HOUSE DETROIT LLC","21445 Hoover RD Suite 104, Warren MI 48089","05/10/2026","Active",,,
"AU-P-000594","Marihuana Processor - License","PG Manufacturing, LLC","3050 Crandall PKWY, Lawrence MI 49064","03/19/2026","Active",,,
"AU-P-000589","Marihuana Processor - License","LA BELVA LABS","6556 OAK RD Suite A, VASSAR MI 48768","07/29/2026","Active",,,
"AU-P-000586","Marihuana Processor - License","TRIMED SUSTAINABLE SOLUTION LLC","1840 Terminal RD Unit C, NILES MI 49120","01/06/2027","Active",,,
"AU-P-000590","Marihuana Processor - License","Distro 10 Inc","21445 Hoover RD Suite 100, Warren MI 48089","08/18/2026","Active",,,
