"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-R-001479","Marihuana Retailer - License","TOP CANNABIS OUTLET RR","286 Burke ST, River Rouge MI 48218","12/03/2026","Active",,,
"AU-R-001473","Marihuana Retailer - License","Green Gold Enterprises, LLC","2401 E. Milham AVE, Portage MI 49002","12/01/2026","Active",,,
"AU-R-001474","Marihuana Retailer - License","WCR Development LLC","2611 Nodular DR, Saginaw MI 48601","02/25/2027","Active",,,
"AU-R-001478","Marihuana Retailer - License","Mango Cannabis New Buffalo Twp","10227 W US 12 HWY, New Buffalo MI 49117","11/25/2026","Active",,,
"AU-R-001475","Marihuana Retailer - License","Mary Jane's On Main","450 South Main Street, Suite 1, Ann Arbor MI 48104","11/20/2026","Active",,,
"AU-R-001468","Marihuana Retailer - License","The Dude Abides Marijuana Retailer","71020 M-103, White Pigeon MI 49099","02/18/2027","Active",,,
"AU-R-001462","Marihuana Retailer - License","Elevated Exotics","13899 Grand AVE, New Buffalo MI 49117","06/16/2026","Active",,,
"AU-R-001458","Marihuana Retailer - License","Wojo Cannabis Co.","606 3rd ST, Bay City MI 48708","11/05/2026","Active",,,
"AU-R-001461","Marihuana Retailer - License","National Brands Distribution LLC","3820 Varsity DR, Ann Arbor MI 48108","09/10/2026","Active",,,
"AU-R-001465","Marihuana Retailer - License","3 Smokes","7200 W US 12, Three Oaks MI 49128","03/24/2026","Active",,,
"AU-R-001472","Marihuana Retailer - License","Great Lakes Cannabis Management Group, LLC","3470 S. M-37, Baldwin MI 49304","07/10/2026","Active",,,
"AU-R-001470","Marihuana Retailer - License","Kush E Mart","19215 US 12, New Buffalo MI 49117","10/27/2026","Active",,,
"AU-R-001469","Marihuana Retailer - License","Green Pharm Camden","331 E Bell ST, Camden MI 49232","10/27/2026","Active",,,
"AU-R-001463","Marihuana Retailer - License","NOXX","19169 W US-12 HWY, New Buffalo MI 49117","10/16/2026","Active",,,
"AU-R-001459","Marihuana Retailer - License","Skeetown Drive Thru","551 YOUNG AVE, Muskegon MI 49444","04/08/2026","Active",,,
"AU-R-001460","Marihuana Retailer - License","Space Station Cannabis Company","716 Sol Morris AVE, White Pigeon MI 49099","05/06/2026","Active",,,
"AU-R-001443","Marihuana Retailer - License","JOYOLOGY CASS AND GROESBECK","195 Malow CT Suite A, Mount Clemens MI 48043","09/24/2026","Active","Home Delivery - Approved",,
"AU-R-001447","Marihuana Retailer - License","Legacy Greens LLC","19347 MOUNT ELLIOTT, DETROIT MI 48234","02/16/2026","Active",,,
"AU-R-001457","Marihuana Retailer - License","Good Vibes Port Huron","515 Wall ST, Port Huron MI 48060","09/18/2026","Active",,,
