"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-ST-000152","Marihuana Secure Transporter - License","Secure Transport Systems LLC","300 Hill ST, Lansing MI 48912","09/03/2026","Active",,,
"AU-ST-000153","Marihuana Secure Transporter - License","ESL LLC","23433 Dequindre RD, Hazel Park MI 48030","08/29/2026","Active",,,
"AU-ST-000148","Marihuana Secure Transporter - License","Vision Transportation of MI, LLC","8181A Greenfield RD, Detroit MI 48228","01/23/2026","Active",,,
"AU-ST-000147","Marihuana Secure Transporter - License","Trailblazer Industries LLC","14685 E 11 Mile RD Suite B, Warren MI 48088","09/13/2026","Active",,,
"AU-ST-000145","Marihuana Secure Transporter - License","ESL LLC","11530 STEPHENS RD Suite 303, WARREN MI 48089","08/22/2025","License Void",,,
"AU-ST-000146","Marihuana Secure Transporter - License","T1 Transport","1125 A E State ST, Cassopolis MI 49031","08/16/2026","Active",,,
"AU-ST-000143","Marihuana Secure Transporter - License","J & J Secure Transport","4753 Rambo RD, Bridgman MI 49106","10/09/2026","Active",,,
"AU-ST-000142","Marihuana Secure Transporter - License","Valhalla Secure Transport, LLC","303 Union ST, Three Rivers MI 49093","09/22/2026","Active",,"Public Documents Available",
"AU-ST-000141","Marihuana Secure Transporter - License","Buda Trans","205 Bell ST, Lansing MI 48906","07/18/2024","License Void",,"Public Documents Available",
"AU-ST-000140","Marihuana Secure Transporter - License","JK Logix Inc","21445 Hoover RD Suite 319, Warren MI 48089","03/11/2026","Active",,"Public Documents Available",
"AU-ST-000139","Marihuana Secure Transporter - License","West Michigan Secured Transport, Inc.","1601 College Ave SE, Grand Rapids MI 49507","03/12/2026","Active",,"Public Documents Available",
"AU-ST-000138","Marihuana Secure Transporter - License","Secured Travels LLC","701 E South Street Suite 201, Lansing MI 48910","02/06/2024","License Void",,,
"AU-ST-000137","Marihuana Secure Transporter - License","Motas Transportation","1451 E 9 Mile RD, Hazel Park MI 48030","01/02/2027","Active",,,
"AU-ST-000136","Marihuana Secure Transporter - License","Kurativ, LLC","17853 Donnell Lake ST, Vandalia MI 49095","09/28/2023","License Void",,,
"AU-ST-000135","Marihuana Secure Transporter - License","Trailblazer Industries LLC","11530 Stephens RD Suite 106, Warren MI 48089","09/14/2024","License Void",,"Public Documents Available",
"AU-ST-000134","Marihuana Secure Transporter - License","Secure Transport of Michigan, LLC","1291 Kitson AVE, Sturgis MI 49091","06/10/2023","License Void",,,
"AU-ST-000133","Marihuana Secure Transporter - License","Michigan Secure Trucking LLC","219 S. Illinois AVE, Gaylord MI 49735","05/25/2023","License Void",,,
"AU-ST-000132","Marihuana Secure Transporter - License","Forrest Secure Transport, LLC","206 Elm ST, Kalkaska MI 49646","04/26/2023","License Void",,,
"AU-ST-000131","Marihuana Secure Transporter - License","MI Secured Transport, LLC","24348 Sherwood AVE, Center Line MI 48015","01/27/2026","Active",,"Public Documents Available",
"AU-ST-000130","Marihuana Secure Transporter - License","Greenguard Transport LLC","3990 Varsity DR, Ann Arbor MI 48108","05/04/2026","Active",,"Public Documents Available",
"AU-ST-000129","Marihuana Secure Transporter - License","OnTheGoMichigan","21445 Hoover RD Suite 319, Warren MI 48089","08/30/2022","License Void",,,
"AU-ST-000128","Marihuana Secure Transporter - License","Greenguard Transport LLC","3753 Varsity DR, Ann Arbor MI 48108","05/04/2022","License Void",,,
"AU-ST-000127","Marihuana Secure Transporter - License","SST Logistics","7993 US 12 HWY, ONSTED MI 49265","03/30/2022","License Void",,,
"AU-ST-000125","Marihuana Secure Transporter - License","West Michigan Secured Transport, Inc.","1959 Sterling NW AVE Suite D, Grand Rapids MI 49504","03/12/2023","License Void",,,
"AU-ST-000124","Marihuana Secure Transporter - License","GSTM LLC","25600 Henry B Joy BLVD, Harrison Township MI 48045","02/24/2024","License Void",,,
"AU-ST-000122","Marihuana Secure Transporter - License","VetForce, Inc.","1601 College Ave SE, Grand Rapids MI 49507","12/21/2022","License Void",,"Public documents available",
"AU-ST-000121","Marihuana Secure Transporter - License","DRS Choice Transport, LLC","4700 N Huron RD Unit 5, 6, 7, Pinconning MI 48650","12/11/2025","Active",,"Public Documents Available",
"AU-ST-000123","Marihuana Secure Transporter - License","Lake Effects Logistics","12261 Cleveland ST Suite E, Nunica MI 49448","12/10/2025","Active",,"Public Documents Available",
"AU-ST-000118","Marihuana Secure Transporter - License","MSO Transport","200 N 13th ST, Bay City MI 48708","09/04/2022","License Void",,"Public Documents Available",
"AU-ST-000119","Marihuana Secure Transporter - License","Emerald Secure Transportation LLC","2827 S Cedar ST, Lansing MI 48910","08/14/2026","Active",,"Public Documents Available",
"AU-ST-000116","Marihuana Secure Transporter - License","Secure Cannabis Transport of Michigan","3110 Turner ST Suite 1-D, Lansing MI 48906","08/11/2021","License Void",,,
"AU-ST-000117","Marihuana Secure Transporter - License","Future Trust Transport, LLC","3050 Packard ST, Ann Arbor MI 48108","07/28/2026","Active",,"Public Documents Available",
"AU-ST-000115","Marihuana Secure Transporter - License","Griffin Secure Transport LLC","41225 Production DR, Harrison Township MI 48045","07/08/2022","License Void",,,
"AU-ST-000114","Marihuana Secure Transporter - License","AFA Secured Transporter LLC","810 Filley Street Suite A, Lansing MI 48906","06/25/2026","Active",,"Public Documents Available",
"AU-ST-000108","Marihuana Secure Transporter - License","Greenguard Transport LLC","2702 South Cedar Street Suite A, Lansing MI 48910","05/05/2021","License Void",,,
"AU-ST-000113","Marihuana Secure Transporter - License","Lelantos Transport LLC","15403 Sharon RD Suite D, Chesaning MI 48616","04/29/2024","License Void",,"Public Documents Available",
"AU-ST-000110","Marihuana Secure Transporter - License","Minotaur Secure Transport, LLC","1096 E. Main ST Suite C, Morenci MI 49256","04/21/2021","License Void",,,
"AU-ST-000111","Marihuana Secure Transporter - License","MI SECURE DELIVERY, LLC","24605 John R RD, Hazel Park MI 48030","04/16/2022","License Void",,"Public Documents Available",
"AU-ST-000112","Marihuana Secure Transporter - License","Great Lakes Secured Transfer","1240 S Kalamazoo AVE, Marshall MI 49068","04/10/2026","Active",,"Public Documents Available",
"AU-ST-000109","Marihuana Secure Transporter - License","Blumfield Secure Transport, Inc.","945 E HURON AVE Unit 945, VASSAR MI 48768","03/31/2026","Active",,"Public Documents Available",
"AU-ST-000104","Marihuana Secure Transporter - License","JK Logix, Inc.","1600 Turner ST, Lansing MI 48906","03/11/2026","Active",,"Public Documents Available",
"AU-ST-000106","Marihuana Secure Transporter - License","MARTRANSCO INC","812 Filley ST Suite C, Lansing MI 48906","02/18/2026","License Void",,"Public Documents Available",
"AU-ST-000107","Marihuana Secure Transporter - License","Capital Transport, LLC","1431 Rensen ST Suite H, Lansing MI 48910","02/07/2026","Active",,"Public Documents Available",
"AU-ST-000100","Marihuana Secure Transporter - License","Motas Transportation","21015 John R RD, Hazel Park MI 48030","01/02/2023","License Void",,"Public Documents Available",
"AU-ST-000103","Marihuana Secure Transporter - License","Evergreen Logistics LLC","7661 Ann Arbor Road, Grass Lake MI 49240","12/17/2020","License Void",,"Public Documents Available",
"AU-ST-000102","Marihuana Secure Transporter - License","All Green Transport","91 W Park DR, Kalkaska MI 49646","12/11/2025","License Void",,"Public Documents Available",
"AU-ST-000101","Marihuana Secure Transporter - License","Greenline Express","573 S Maple RD, Ann Arbor MI 48103","11/27/2026","Active",,"Public Documents Available",
