"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"GR-B-000055","Class B Grower – License","BG Grow, LLC","23881 Dequindre RD, Hazel Park MI 48030","12/01/2026","Active",,,
"GR-B-000054","Class B Grower – License","Great Lakes Cannabis Management Group, LLC","7919 E 56th ST, Chase MI 49623","09/02/2026","Active",,,
"GR-B-000053","Class B Grower – License","Deep Roots by Creek, LLC","4363 W. Shaffer RD, Coleman MI 48618","06/17/2026","Active",,,
"GR-B-000052","Class B Grower – License","Oasis Wellness Center of Lansing, LLC","5590 Enterprise CT, Warren MI 48092","03/28/2026","Active",,,
"GR-B-000051","Class B Grower – License","Northwoods Cultivation, LLC","2051 Traversefield DR, Traverse City MI 49686","03/26/2026","Active",,,
"GR-B-000050","Class B Grower – License","Faded Acres LLC","3624 Quade HWY, Rogers City MI 49779","10/06/2026","Active",,,
"GR-B-000049","Class B Grower – License","Nug Life Canna","1008 E 10 Mile RD, Hazel Park MI 48030","02/06/2026","Active",,,
"GR-B-000048","Class B Grower – License","Hidden Lake Holdings LLC","348 Watts RD, Jackson MI 49203","09/10/2025","Closed",,,
"GR-B-000047","Class B Grower – License","Teleology, LLC","51525 Industrial DR, New Baltimore MI 48047","04/19/2026","Active",,,
"GR-B-000046","Class B Grower – License","Noman Investments II LLC","27048 Gloede, Warren MI 48088","12/20/2024","Closed",,,
"GR-B-000045","Class B Grower – License","Express Two N, Inc.","3896 Crooked Creek, Vassar MI 48768","07/26/2026","Active",,,
"GR-B-000044","Class B Grower – License","Jelli D Enterprise, LLC","6806 Sheridan RD, Vassar MI 48768","06/16/2024","Closed",,,
"GR-B-000043","Class B Grower – License","Symponia Farms Inc.","1140 Harmonia RD, Battle Creek MI 49037","03/17/2026","Active",,,
"GR-B-000040","Class B Grower – License","Wanda Products, LLC","1369 Cripps RD, Luzerne MI 48636","01/25/2026","Active",,,
"GR-B-000039","Class B Grower – License","Genetix Cannabis","23364 Amber AVE, Warren MI 48089","11/22/2023","Closed",,,
"GR-B-000038","Class B Grower – License","TTC Grow","22817 Dequindre RD, Hazel Park MI 48030","11/03/2025","Active - Late Renewal",,,
"GR-B-000036","Class B Grower – License","Trivium Cannabis, LLC","16962 Woodlane DR Suite A, Nunica MI 49448","12/16/2023","Closed",,,
"GR-B-000035","Class B Grower – License","Care By Design Health and Wellness Market Inc.","1248 East Airway AVE, White Cloud MI 49349","02/18/2023","Closed",,,
"GR-B-000034","Class B Grower – License","Vassar Green House, LLC","3867 Crooked Creek, Vassar MI 48768","04/06/2026","Active",,"Public documents available",
"GR-B-000028","Class B Grower – License","West Coast Meds, LLC","8620 Lyndon ST, Detroit MI 48238","07/26/2023","Closed",,,
"GR-B-000033","Class B Grower – License","Arjuna, LLC","3110 Turner ST Suite 3L, Lansing MI 48906","02/11/2024","Closed",,"Public Documents Available",
"GR-B-000030","Class B Grower – License","Muskegon Grow Co.","1922 Park ST Suite B, Muskegon MI 49441","11/08/2026","Active",,,
"GR-B-000032","Class B Grower – License","CCG Holdings Group, LLC","3049 S Dog Track RD, Baldwin MI 49304","10/07/2022","Closed",,,
"GR-B-000010","Class B Grower – License","MC3 Botanicals, Inc.","576 Stager Lake RD, Crystal Falls MI 49920","07/20/2022","Closed",,,
"GR-B-000029","Class B Grower – License","420 Medz, LLC","8505 E County Line RD, Coleman MI 48618","06/23/2022","Closed",,,
"GR-B-000025","Class B Grower – License","Green Mitten Harvest LLC","9384 N Saginaw RD, Mt. Morris MI 48458","03/26/2024","Closed",,,
"GR-B-000021","Class B Grower – License","Motor City Oasis LLC","18 Enterprise DR, Vassar MI 48768","03/16/2023","Closed",,,
"GR-B-000012","Class B Grower – License","Verdant Health, LLC","1248 E Airway AVE, White Cloud MI 49349","03/05/2022","Closed",,,
"GR-B-000022","Class B Grower – License","Proper Mound LLC","24238 Mound RD, Warren MI 48091","02/05/2023","Closed",,,
"GR-B-000019","Class B Grower – License","Holland Farms, LLC","560 E Huron RD, Omer MI 48749","11/06/2024","Closed",,"Public Documents Available",
"GR-B-000020","Class B Grower – License","Evolution Grow Company","1060 River Road West, Battle Creek MI 49037","10/20/2024","Closed",,,
"GR-B-000018","Class B Grower – License","Premier Grow","12747 Stout ST, Detroit MI 48223","08/26/2023","Closed",,"Public Documents Available",
"GR-B-000011","Class B Grower – License","Heavenly Harvest Cultivators, Inc.","28868 94th AVE, Marcellus MI 49067","08/25/2021","Closed",,,
"GR-B-000015","Class B Grower – License","Forest Brothers","23300 Amber AVE, Warren MI 48089","06/23/2025","Closed",,,
"GR-B-000014","Class B Grower – License","Bullit + Budz","3660 Patterson RD Bldg C, Bay City MI 48706","04/20/2025","Closed",,"Public Documents Available",
"GR-B-000004","Class B Grower – License","MI Loud Flower Farms, L.L.C.","8841 Page AVE, Jackson MI 49201","01/22/2026","Active",,,
"GR-B-000001","Class B Grower – License","Mitten Canna Co.","3734 Commerce ST, Jackson MI 49203","06/12/2021","Closed",,,
"GR-B-000003","Class B Grower – License","Insano Pharms","2300 Spikes LN, Lansing MI 48906","01/16/2025","Closed",,"Public Documents Available",
