"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"GR-C-003490","Class C Grower – License","HI Cannabis Ann Arbor","975 Phoenix DR, Ann Arbor MI 48108","11/19/2026","Active",,,
"GR-C-003464","Class C Grower – License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003463","Class C Grower – License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003462","Class C Grower – License","Northwoods Cultivation LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003461","Class C Grower – License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003460","Class C Grower – License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003459","Class C Grower – License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003458","Class C Grower – License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003457","Class C Grower – License","Northwoods Cultivation LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003456","Class C Grower – License","Northwoods Cultivation LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003455","Class C Grower – License","Northwoods Cultivation, LLC","1751 W. Beecher ST, Adrian MI 49221","03/26/2026","Active",,,
"GR-C-003453","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003452","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003451","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003450","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003449","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003448","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003447","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003446","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003445","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
"GR-C-003433","Class C Grower – License","Budhaven, LLC","6329 Chief RD, Brethren MI 49619","09/17/2026","Active",,,
