"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"PR-000375","Processor - License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2026","Active",,,
"PR-000371","Processor - License","Distro 10 Inc","21445 Hoover RD Suite 100, Warren MI 48089","08/18/2026","Active",,,
"PR-000369","Processor - License","QPS Michigan Holdings LLC","1223 Tech DR, Webberville MI 48892","11/19/2025","Closed",,,
"PR-000368","Processor - License","Paisley Trees","1298 Arbogast RD, Union City MI 49094","08/20/2026","Active",,,
"PR-000367","Processor - License","75 LABS, Detour","630 E 10 Mile RD, Hazel Park MI 48030","11/07/2026","Active",,,
"PR-000365","Processor - License","Ann Arbor Farms, LLC","1254 N Main ST Bldg 1, Ann Arbor MI 48104","09/30/2026","Active",,,
"PR-000364","Processor - License","Lume Cannabis Co.","10070 Harvest Park, Dimondale MI 48821","03/21/2026","Active",,,
"PR-000363","Processor - License","ORO EXTRACTS","21704 Hoover RD, Warren MI 48089","08/30/2026","Active",,,
"PR-000361","Processor - License","Green Zone Michigan, LLC","850 Ladd RD Bldg A, Walled Lake MI 48390","08/13/2025","Closed",,"Public Documents Available",
"PR-000362","Processor - License","1006, LLC","2 Johnson CT, Bay City MI 48708","08/06/2026","Active",,,
"PR-000358","Processor - License","Bay Breeze Farms, LLC","3171 Alabaster RD, Tawas City MI 48763","07/22/2025","Closed",,,
"PR-000357","Processor - License","Mitten Distro 1","521 E Mosel AVE Suite C, Kalamazoo MI 49004","07/01/2026","Active",,,
"PR-000354","Processor - License","Space Stone, Inc.","2466 E. Huron RD, Au Gres MI 48703","10/17/2024","Closed",,,
"PR-000356","Processor - License","HZ Detroit Holdings 2, LLC","20601 Glendale ST Suite B, Detroit MI 48223","05/28/2025","Closed",,,
"PR-000355","Processor - License","Allstar Processing, LLC","32620 Dequindre, Warren MI 48092","05/14/2026","Active",,,
"PR-000351","Processor - License","Oasis Wellness Center of Lansing, LLC","5580 Enterprise CT, Warren MI 48092","03/28/2026","Active",,,
"PR-000345","Processor - License","Roseville CC, LLC","16525 Industrial ST, Roseville MI 48066","12/11/2025","Active",,,
"PR-000348","Processor - License","Garden Holdings P, LLC","32330 Ford RD Suite B, Garden City MI 48135","10/26/2026","Active",,,
"PR-000346","Processor - License","Blackstone Harvest, LLC","25440 Sherwood AVE, Center Line MI 48015","10/26/2026","Active",,,
"PR-000349","Processor - License","Berry Green Management Inc.","1330 IMLAY CITY RD Unit F-H, LAPEER MI 48446","12/07/2025","Closed",,,
"PR-000347","Processor - License","ProGroCo","10260 Harvest Park Suite A, Dimondale MI 48821","02/18/2026","Active",,,
"PR-000344","Processor - License","LJA Holdings VIII, LLC","923 Beech ST, Lansing MI 48912","03/21/2026","Active",,,
"PR-000341","Processor - License","Peninsula Agriculture, LLC","3171 Alabaster RD, Tawas City MI 48763","05/26/2024","Closed",,,
"PR-000305","Processor - License","Holland Farms, LLC","560 E Huron RD, Omer MI 48749","11/06/2024","Closed",,,
"PR-000343","Processor - License","ICE Processing Corp","21445 Hoover RD Suite 310, Warren MI 48089","08/14/2024","Closed",,,
"PR-000339","Processor - License","Native Leaf LLC","116 Enterprise DR, Reading MI 49274","07/19/2024","Closed",,,
"PR-000340","Processor - License","Kevy Bars LLC","2392 Davis RD, Au Gres MI 48703","07/14/2024","Closed",,,
"PR-000335","Processor - License","Michigan Green Magic, LLC","975 S. Dettman RD, Jackson MI 49203","06/27/2024","Closed",,,
"PR-000333","Processor - License","Distro 10 Inc.","21445 Hoover RD Suite 302, Warren MI 48089","08/18/2026","Active",,,
"PR-000330","Processor - License","True Health MI","2101 W. Willow ST, Lansing MI 48917","07/10/2024","Closed",,,
"PR-000331","Processor - License","KD Processing LLC","950 E 10 Mile RD, Hazel Park MI 48030","03/09/2026","Active",,,
"PR-000328","Processor - License","OI Processing LLC","3090 Wright ST Suite B, Marquette MI 49855","02/13/2026","Active",,,
"PR-000326","Processor - License","CannaTech 360, LLC","520 Hammontree DR Suite B, Morenci MI 49256","02/07/2026","Active",,,
"PR-000327","Processor - License","Monroe Processing LLC","14930 LAPLAISANCE RD Unit 131 & 132, Monroe MI 48161","02/02/2024","Closed",,,
"PR-000325","Processor - License","Canapa Valley Farms Processing, LLC","700 E Huron AVE Bldg 3 & 4, Vassar MI 48768","02/01/2026","Active",,"Public Documents Available",
"PR-000324","Processor - License","Wilder Pharms","4401 Ace Commercial CT, Bay City MI 48706","03/11/2026","Active",,,
"PR-000323","Processor - License","MSV MI, LLC","1721 W Pleasant ST, River Rouge MI 48218","11/07/2026","Active",,,
"PR-000322","Processor - License","SSDLG, LLC","14750 LaPlaisance RD Suite H-240, Monroe MI 48161","12/14/2023","Closed",,,
"PR-000317","Processor - License","MPM-R XV, LLC","624 Brady ST Suite B, Chesaning MI 48616","12/09/2026","Active",,,
"PR-000321","Processor - License","Boone Labs, Inc.","107 E. Alexander ST, Buchanan MI 49107","11/30/2023","Closed",,,
"PR-000318","Processor - License","Lucky Buds II, LLC","3650 Patterson RD Unit 2, Bay City MI 48706","11/30/2025","Closed - Suspended",,"Public Documents Available",
"PR-000315","Processor - License","HiCloud LLC","7655 E M-20, Hesperia MI 49421","04/28/2026","Active",,"Public Documents Available",
"PR-000320","Processor - License","GRAMAZON","2502 S. Dort HWY, Flint MI 48507","11/10/2024","Closed",,,
"PR-000311","Processor - License","Rooted and Zooted Processing, LLC","4955 Lansing RD Bldg B, Charlotte MI 48813","11/10/2025","Active - Late Renewal",,"Public Documents Available",
"PR-000319","Processor - License","NAR Kitchen","14731 S. Telegraph RD, Monroe Twp. MI 48161","10/21/2024","Closed",,,
"PR-000314","Processor - License","The Foundry Cannabis Co.","26352 Lawrence AVE, Center Line MI 48015","02/24/2025","Active - Late Renewal",,"Public Documents Available",
"PR-000316","Processor - License","Lume Cannabis Co.","3379 Black RD, Prescott MI 48756","03/21/2025","Closed",,,
"PR-000312","Processor - License","Candid Labs LLC","2010 South Washington AVE, Lansing MI 48910","05/26/2023","Closed",,,
"PR-000309","Processor - License","DISTRO 10 INC","21445 Hoover RD Suite 310, Warren MI 48089","08/18/2023","Closed",,,
"PR-000310","Processor - License","For the Love of Charlie!","101 Enterprise DR, Vassar MI 48768","08/15/2023","Closed",,,
"PR-000306","Processor - License","R&H Investment Holdings, LLC","48888 County Road 374, Lawrence MI 49064","05/27/2026","Active",,,
"PR-000263","Processor - License","Premier Concentrates","7266 Cain RD, Jackson MI 49201","02/21/2024","Closed",,"Public Documents Available",
"PR-000213","Processor - License","JIS, LLC","2100 South Washington AVE Suite 53C, Lansing MI 48910","10/25/2023","Closed",,,
"PR-000304","Processor - License","Regency Specialties Inc.","23705 Regency Park, Warren MI 48089","10/01/2024","Closed",,,
"PR-000297","Processor - License","Utopia Extracts LLC","12829 Artesian BLVD, Detroit MI 48223","06/15/2024","Closed",,"Public Documents Available",
