"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"PC-000893","Provisioning Center - License","Pure Lapeer","1330 Imlay City RD Unit A-D, Lapeer MI 48446","10/28/2026","Active",,,
"PC-000891","Provisioning Center - License","House Of Dank Lapeer","200 E. Genesee ST Unit 1 & 2, Lapeer MI 48446","10/24/2026","Active",,,
"PC-000892","Provisioning Center - License","JARS Cannabis","1035 W 12 Mile RD, Madison Heights MI 48071","10/21/2026","Active",,,
"PC-000889","Provisioning Center - License","LaHaze Cannabis Company","217 Mill ST, Cheboygan MI 49721","08/07/2026","Active",,,
"PC-000890","Provisioning Center - License","Moses Roses","5806 Dixie HWY, Waterford MI 48329","08/01/2026","Active",,,
"PC-000887","Provisioning Center - License","The Jazz Club Center","1333 Imlay City RD, Lapeer MI 48446","03/31/2026","Active",,,
"PC-000886","Provisioning Center - License","JARS Cannabis","45221 Utica Park BLVD Suite A, Utica MI 48315","03/12/2026","Active",,,
"PC-000885","Provisioning Center - License","Lef Cannabis Co","653 S Lapeer RD, Oxford MI 48371","11/21/2025","Closed",,,
"PC-000884","Provisioning Center - License","JARS Cannabis","3520 Okemos RD Suite 10, Okemos MI 48864","09/25/2026","Active",,,
"PC-000883","Provisioning Center - License","Pincanna","2207 S Mission ST, Mt. Pleasant MI 48858","12/23/2025","Active",,,
"PC-000882","Provisioning Center - License","Biogold Dispo powered by Tranquility Fields","1825 E US Highway 2, Norway MI 49870","08/09/2026","Active",,,
"PC-000881","Provisioning Center - License","875 North, LLC","875 North AVE, Battle Creek MI 49017","07/24/2025","Closed",,,
"PC-000879","Provisioning Center - License","Hazed Cannabis","1115 Corunna AVE, Owosso MI 48867","07/03/2025","Closed","Approved",,
"PC-000877","Provisioning Center - License","To Infinity and Beyond!, LLC","280 N Washington ST, Oxford MI 48371","05/31/2026","Active",,,
"PC-000878","Provisioning Center - License","Apothecare Cheboygan","414 N Main ST, Cheboygan MI 49721","05/17/2026","Active",,,
"PC-000875","Provisioning Center - License","Stateline","989 E Main ST, Morenci MI 49256","12/22/2025","Active",,,
"PC-000876","Provisioning Center - License","5 & Dime","20561 Dwyer ST, Detroit MI 48234","12/22/2024","Closed","Approved","Public Documents Available",
