"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"ST-000075","Secure Transporter - License","T1 Transport","1125 A E State ST, Cassopolis MI 49031","08/07/2026","Active",,,
"ST-000074","Secure Transporter - License","JK Logix Inc","21445 Hoover RD Suite 319, Warren MI 48089","09/26/2026","Active",,,
"ST-000073","Secure Transporter - License","West Michigan Secured Transport","1601 College Ave SE, Grand Rapids MI 49507","05/12/2026","Active",,,
"ST-000072","Secure Transporter - License","Trailblazer Industries LLC","11530 Stephens RD Suite 106, Warren MI 48089","01/20/2025","Closed",,,
"ST-000071","Secure Transporter - License","Motas Transportation","1451 E 9 Mile RD, Hazel Park MI 48030","11/22/2026","Active",,,
"ST-000068","Secure Transporter - License","Kurativ, LLC","17853 Donnell Lake ST, Vandalia MI 49095","09/01/2023","Closed",,,
"ST-000067","Secure Transporter - License","Secure Transport of Michigan, LLC","1291 Kitson AVE, Sturgis MI 49091","05/17/2023","Closed",,,
"ST-000065","Secure Transporter - License","MI Secured Transport LLC","24348 Sherwood AVE, Center Line MI 48015","12/27/2025","Active",,,
"ST-000063","Secure Transporter - License","Greenguard Transport LLC","3990 Varsity DR, Ann Arbor MI 48108","11/23/2026","Active",,"Public Documents Available",
"ST-000064","Secure Transporter - License","Forrest Secure Transport, LLC","206 Elm ST, Kalkaska MI 49646","11/18/2023","Closed",,,
"ST-000061","Secure Transporter - License","SST Logistics","7993 US 12 HWY, Onsted MI 49265","02/12/2022","Closed",,,
"ST-000060","Secure Transporter - License","Helios Security, LLC","3075 Joyce ST, Burton MI 48529","01/20/2022","Closed",,"Public Documents Available",
"ST-000057","Secure Transporter - License","DRS Choice Transport, LLC","4700 N Huron RD Unit 5, 6, 7, Pinconning MI 48650","10/19/2026","Active",,,
"ST-000059","Secure Transporter - License","Lake Effects Logistics LLC","12261 Cleveland ST Suite E, Nunica MI 49448","10/14/2025","Active - Late Renewal",,"Public Documents Available",
"ST-000058","Secure Transporter - License","GSTM LLC","25600 Henry B Joy BLVD, Harrison Township MI 48045","10/06/2024","Closed",,"Public Documents Available",
"ST-000055","Secure Transporter - License","VetForce, Inc.","1601 College Ave SE, Grand Rapids MI 49507","07/28/2022","Closed",,"Public Documents Available",
"ST-000044","Secure Transporter - License","Emerald Secure Transportation LLC","2827 S Cedar ST, Lansing MI 48910","07/23/2025","Closed",,"Public Documents Available",
"ST-000054","Secure Transporter - License","Aegis","947 E Huron AVE, Vassar MI 48768","07/03/2021","Closed",,,
"ST-000052","Secure Transporter - License","AFA Secured Transporter LLC","810 Filley Street Suite A, Lansing MI 48906","06/28/2026","Active",,"Public Documents Available",
"ST-000050","Secure Transporter - License","Greentransport Services, Inc.","11616 NW Monroe RD Suite B, Riverdale MI 48877","06/18/2022","Closed",,"Public Documents Available",
"ST-000049","Secure Transporter - License","Future Trust Transport L.L.C.","3050 Packard ST, Ann Arbor MI 48108","05/29/2025","Closed",,"Public Documents Available",
"ST-000047","Secure Transporter - License","West Michigan Secured Transport, Inc.","1959 Sterling NW AVE Suite D, Grand Rapids MI 49504","05/12/2023","Closed",,"Public Documents Available",
"ST-000045","Secure Transporter - License","American Securities Integrated, LLC","1298 Highview DR, Webberville MI 48892","03/31/2021","Closed",,,
"ST-000043","Secure Transporter - License","OnTheGoMichigan","21445 Hoover RD Suite 319, Warren MI 48089","03/17/2023","Closed - Suspended",,"Public Documents Available",
"ST-000040","Secure Transporter - License","Secure Cannabis Transport of Michigan","3110 Turner ST Suite 1-D, Lansing MI 48906","03/04/2022","Closed",,"Public Documents Available",
"ST-000034","Secure Transporter - License","R-N-A Hauling and Farm Services LLC","3711 Commerce ST Suite A, Jackson MI 49203","01/16/2021","Closed",,,
"ST-000038","Secure Transporter - License","MI Secure Delivery LLC","24605 John R RD, Hazel Park MI 48030","01/14/2022","Closed",,"Public Documents Available",
"ST-000031","Secure Transporter - License","MSO Transport","200 North 13th ST, Bay City MI 48708","01/13/2022","Closed",,,
"ST-000035","Secure Transporter - License","Great Lakes Secured Transfer","1240 S Kalamazoo AVE, Marshall MI 49068","01/10/2026","Active",,,
"ST-000032","Secure Transporter - License","Blumfield Secure Transport, Inc.","1250 S Huron RD, Kawkawlin MI 48631","12/10/2026","Active",,"Public Documents Available",
"ST-000019","Secure Transporter - License","Premier Specialized Logistics","3810 Packard RD Suite 200B, Ann Arbor MI 48108","02/04/2021","Closed",,,
"ST-000026","Secure Transporter - License","Greenguard Transport LLC","2702 S Cedar ST Suite A, Lansing MI 48910","10/23/2021","Closed",,"Public Documents Available",
"ST-000030","Secure Transporter - License","All Green Transport, LLC","91 W Park DR, Kalkaska MI 49646","10/03/2023","Closed - Suspended",,"Public Documents Available",
"ST-000022","Secure Transporter - License","JK Logix, Inc.","1600 Turner ST, Lansing MI 48906","09/26/2026","Active",,"Public Documents Available",
"ST-000018","Secure Transporter - License","Minotaur Secure Transport LLC","1096 East Main ST Suite C, Morenci MI 49256","07/25/2021","Closed",,,
"ST-000023","Secure Transporter - License","AFA Secured Transporter LLC","4110 Pier North BLVD Suite B, Mount Morris Township MI 48458","06/28/2021","Closed",,,
"ST-000008","Secure Transporter - License","Green Express Transport! LLC","3110 Turner St Suite F, Lansing MI 48906","02/05/2021","Closed",,"Public Documents Available",
"ST-000021","Secure Transporter - License","Martransco Inc","812 Filley ST Suite C, Lansing MI 48906","06/04/2025","Closed",,,
"ST-000017","Secure Transporter - License","Greenline Express","573 S Maple RD, Ann Arbor MI 48103","05/06/2026","Active",,,
"ST-000015","Secure Transporter - License","Griffin Secure Transport LLC","41225 Production DR, Harrison Township MI 48045","04/25/2022","Closed",,,
"ST-000004","Secure Transporter - License","Evergreen Logistics LLC","7661 Ann Arbor Road, Grass Lake MI 49240","02/21/2021","Closed",,,
