Price,Address,City,Listing URL
"$250,000",321 East Liberty Street,Ann Arbor,https://www.420property.com/listing/ann-arbor-formerly-operating-provisioning-center/
"$2,495,000",1801 N Opdyke,Auburn Hills,https://cannamls.com/properties/catalog/michigan/dispensary/
"$185,000",492 Capital Ave SW,Battle Creek,https://cannamls.com/properties/catalog/michigan/dispensary/
"$399,999",1200 East Columbia Avenue,Battle Creek,https://www.420property.com/listing/battle-creek-freestanding-retail-cannabis-building/
"$3,999,999",846-848 East Columbia Avenue,Battle Creek,https://www.420property.com/listing/battle-creek-dispo-x-fire-creek-provisioning-center/
"$1,500,000",Confidential,Bay City,https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/
"$575,000",Confidential,Bay County,https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/
"$2,500,000",2200 West Eleven Mile Road,Berkley,https://www.420property.com/listing/berkley-butter-provisioning-center-industrial-building/
"$2,795,000",28557 Woodward Avenue,Berkley,https://www.420property.com/listing/flagship-turnkey-berkley-dispensary-on-woodward-for-sale-lease/
"$575,000",Confidential,Calhoun County,https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/
"$169,000",519 Robinson Street,Charlotte,https://www.420property.com/listing/charlotte-freestanding-retail-industrial-building/
"$750,000",317 South McDonnell Street,Corunna,https://www.420property.com/listing/turn-key-dispensary-in-corunna-mi-2/
"$299,999",2430 Ludington Street,Escanaba,https://www.420property.com/listing/escanaba-municipal-approved-adult-use-provisioning-center/
"$25,000",Confidential (Central Area),Flint,https://www.420property.com/listing/skip-the-buy-in-high-profile-fully-built-out-cannabis-retail-storefront-in-michigan-flint-michigan-1918/
"$299,999",3756 South Dort Highway,Flint,https://www.420property.com/listing/flint-freestanding-retail-cannabis-building/
"$399,999",121-123 South Wisconsin Avenue,Gaylord,https://www.420property.com/listing/gaylord-freestanding-retail-office-buildings/
"$799,999",1385 West Main Street,Gaylord,https://www.420property.com/listing/gaylord-freestanding-retail-building-redevelopment-site/
"$399,900",108 U.S. 23,Harrisville,https://www.420property.com/michigan/
"$379,000",5433 East Michigan Avenue,Jackson,https://cannabisrealestateconsultants.com/listing/5228/
"$25,000",Confidential (Near I-94),Kalamazoo,https://www.420property.com/listing/no-purchase-price-only-transition-high-profile-turnkey-licensed-cannabis-retail-storefront-opportunity-kalamazoo-michigan-1919/
"$3,350,000",335 W Main St,Lowell,https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/
"$899,999",Confidential,Macomb County,https://cannamls.com/properties/catalog/michigan/dispensary/
"$18,000,000",Confidential,Michigan,https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/
"$699,999",1901 South Mission Street,Mount Pleasant,https://www.420property.com/listing/mount-pleasant-turnkey-provisioning-center-retail-building/
"$1,530,000",1620 E Apple Ave,Muskegon,https://www.crexi.com/properties/1074531/michigan-high-profile-cannabis-dispensaries
"$155,000",1090 S Getty St,Muskegon,https://www.crexi.com/properties/1074531/michigan-high-profile-cannabis-dispensaries
"$199,999",1871 Peck Street,Muskegon,https://www.420property.com/listing/muskegon-former-operating-turnkey-provisioning-center/
"$225,000",43 West Laketon Avenue,Muskegon,https://cannabisrealestateconsultants.com/listing/5078/
"$4,203,890",1387 E Laketon Ave,Muskegon,https://www.crexi.com/properties/1074531/michigan-high-profile-cannabis-dispensaries
"$509,748",185 W Laketon Ave,Muskegon,https://www.crexi.com/properties/1074531/michigan-high-profile-cannabis-dispensaries
"$549,000",1314 E Apple Ave,Muskegon,https://www.crexi.com/properties/1074531/michigan-high-profile-cannabis-dispensaries
"$649,000",1965 Peck Street,Muskegon,https://www.420property.com/listing/turnkey-muskegon-dispensary-for-sale-lease/
"$2,500,000",19169 U.S. 12,New Buffalo,https://www.420property.com/listing/new-buffalo-municipal-state-approved-turnkey-provisioning-center/
Inquire for Price,3135 South 11th Street,Niles,https://www.420property.com/michigan/niles-real-estate/
"$375,000",155 Holbrook Avenue,Niles (Township),https://www.michigancannabisproperties.com/buy
"$2,250,000",Confidential Location,Ottawa County,https://www.420property.com/michigan/
"$2,950,000",935 West M-36,Pinckney,https://cannabisrealestateconsultants.com/listing/5224/
"$499,000",8991 Hudson Road,Pittsford,https://www.420property.com/listing/turnkey-pittsford-dispensary-ohio-indiana-border-for-sale/
"$450,000",22 North Saginaw Street,Pontiac,https://www.420property.com/listing/downtown-pontiac-single-tenant-mixed-use-building/
"$299,999",7812 Portage Road,Portage,https://www.420property.com/listing/portage-freestanding-cannabis-retail-office-building/
"$1,495,000",25001 Eight Mile West,Redford,https://cannamls.com/properties/catalog/michigan/dispensary/
"$1,800,000",24525 Plymouth Road,Redford Township,https://www.420property.com/michigan/redford-township-real-estate/
"$1,900,000",29765 Groesbeck Highway,Roseville,https://www.420property.com/listing/roseville-municipal-approved-adult-use-provisioning-center/
"$2,100,000",27877 Groesbeck Highway,Roseville,https://www.420property.com/listing/roseville-dispensary-and-real-estate/
"$999,999",12519 M-140,South Haven,https://www.420property.com/listing/south-haven-municipal-approved-turnkey-adult-use-provisioning-center/
"$999,999",8201 Inkster Road,Taylor,https://www.420property.com/listing/taylor-municipal-approved-adult-use-provisioning-center/
"$795,000",Confidential,Warren,https://cannamls.com/properties/catalog/michigan/dispensary/
"$1,695,000",815 North Huron Street,Ypsilanti,https://www.420property.com/listing/operating-and-profitable-ypsilanti-dispensary-for-sale/
"$299,999",513 West Cross Street,Ypsilanti,https://www.420property.com/listing/cross-street-shop-operating-adult-use-provisioning-center/
