address,url,price,sq_ft,latitude,longitude,geocode_status,geocode_source
"9017 S Sprinkle Rd, Kalamazoo, MI",https://www.loopnet.com/Listing/9017-S-Sprinkle-Rd-Kalamazoo-MI/37412011/,"$299,000",2005,42.185799750586,-85.540021548765,success,arcgis
"525 E Kalamazoo Avenue, Kalamazoo, MI 49007",https://www.bhhs.com/rentals/mi/525-e-kalamazoo-avenue-kalamazoo-49007/pid-389202730,"$399,999",2674,42.29499876606,-85.575429473806,success,arcgis
"2233 N Burdick St, Kalamazoo, MI",https://www.loopnet.com/Listing/2233-N-Burdick-St-Kalamazoo-MI/37221198/,"$585,000",4072,42.312958418537,-85.584509840973,success,arcgis
"3301 W Michigan Avenue, Battle Creek, MI 49037",https://www.amplifiedre.com/property/15-25056372-3301-w-michigan-avenue-battle-creek-MI-49037,"$475,000",2765,42.358458616006,-85.273985306394,success,arcgis
"625 North Avenue, Battle Creek, MI 49017",https://www.bhhs.com/rentals/mi/625-north-avenue-battle-creek-49017/pid-416593056,"$500,000",2100,42.34016129856,-85.181731314017,success,arcgis
"321 East Liberty Street, Ann Arbor, MI",https://www.420property.com/listing/ann-arbor-formerly-operating-provisioning-center/,"$250,000",,42.279688004535,-83.745175871879,success,arcgis
"1801 N Opdyke, Auburn Hills, MI",https://cannamls.com/properties/catalog/michigan/dispensary/,"$2,495,000",,42.668455970785,-83.246253143645,success,arcgis
"492 Capital Ave SW, Battle Creek, MI",https://cannamls.com/properties/catalog/michigan/dispensary/,"$185,000",,42.308773250463,-85.196995178795,success,arcgis
"1200 East Columbia Avenue, Battle Creek, MI",https://www.420property.com/listing/battle-creek-freestanding-retail-cannabis-building/,"$399,999",,42.301095008059,-85.165384004435,success,arcgis
"846-848 East Columbia Avenue, Battle Creek, MI",https://www.420property.com/listing/battle-creek-dispo-x-fire-creek-provisioning-center/,"$3,999,999",,42.299000999098,-85.173715029458,success,arcgis
"Confidential, Bay City, MI",https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/,"$1,500,000",,43.5977841,-83.8845297,success,arcgis
"Confidential, Bay County, MI",https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/,"$575,000",,43.721353846672,-83.941736984152,success,arcgis
"2200 West Eleven Mile Road, Berkley, MI",https://www.420property.com/listing/berkley-butter-provisioning-center-industrial-building/,"$2,500,000",,42.489103694674,-83.179355498021,success,arcgis
"28557 Woodward Avenue, Berkley, MI",https://www.420property.com/listing/flagship-turnkey-berkley-dispensary-on-woodward-for-sale-lease/,"$2,795,000",,42.498829510295,-83.168396159619,success,arcgis
"Confidential, Calhoun County, MI",https://www.bizbuysell.com/michigan/cannabis-businesses-for-sale/,"$575,000",,42.246523265937,-85.005577786433,success,arcgis
"519 Robinson Street, Charlotte, MI",https://www.420property.com/listing/charlotte-freestanding-retail-industrial-building/,"$169,000",,42.566011805351,-84.827758094681,success,arcgis
